Disease	Inverse.P1	Inverse.P2	Inverse.Prevalence	Citation
Adenomatous polyposis coli	100000	11111	33333	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Lng=GB&Expert=733
Aortic aneurysm, familial thoracic 4	34483	\N	34483	http://www.ncbi.nlm.nih.gov/pubmed/10807810?dopt=Abstract
Aortic aneurysm, familial thoracic 6	34483	\N	34483	http://www.ncbi.nlm.nih.gov/pubmed/10807810?dopt=Abstract
Aortic aneurysm, familial thoracic 7	34483	\N	34483	http://www.ncbi.nlm.nih.gov/pubmed/10807810?dopt=Abstract
Arrhythmogenic right ventricular cardiomyopathy, type 5	5000	2000	3162	http://www.ncbi.nlm.nih.gov/pubmed/21360243
Arrhythmogenic right ventricular cardiomyopathy, type 8	5000	2000	3162	http://www.ncbi.nlm.nih.gov/pubmed/21360243
Arrhythmogenic right ventricular cardiomyopathy, type 9	5000	2000	3162	http://www.ncbi.nlm.nih.gov/pubmed/21360243
Arrhythmogenic right ventricular cardiomyopathy, type 10	5000	2000	3162	http://www.ncbi.nlm.nih.gov/pubmed/21360243
Arrhythmogenic right ventricular cardiomyopathy, type 11	5000	2000	3162	http://www.ncbi.nlm.nih.gov/pubmed/21360243
Breast-ovarian cancer, familial 1	104	\N	104	http://seer.cancer.gov/statfacts/html/breast.html
Breast-ovarian cancer, familial 2	104	\N	104	http://seer.cancer.gov/statfacts/html/breast.html
Brugada syndrome 1	1000	\N	1000	www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=130
Catecholaminergic polymorphic ventricular tachycardia	10000	\N	10000	https://ghr.nlm.nih.gov/condition/catecholaminergic-polymorphic-ventricular-tachycardia#statistics
Dilated cardiomyopathy 1A	14285	\N	14285	http://www.ncbi.nlm.nih.gov/pubmed/9049523
Ehlers-Danlos syndrome, type 4	5000	\N	5000	https://ghr.nlm.nih.gov/condition/ehlers-danlos-syndrome#statistics
Fabry's disease	100000	\N	100000	https://ojrd.biomedcentral.com/articles/10.1186/1750-1172-5-30
Familial hypercholesterolemia	500	\N	500	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1853359/
Familial hypertrophic cardiomyopathy 1	500	\N	500	https://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy#statistics
Familial hypertrophic cardiomyopathy 3	500	\N	500	https://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy#statistics
Familial hypertrophic cardiomyopathy 4	500	\N	500	https://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy#statistics
Familial hypertrophic cardiomyopathy 6	500	\N	500	https://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy#statistics
Familial hypertrophic cardiomyopathy 7	500	\N	500	https://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy#statistics
Familial hypertrophic cardiomyopathy 8	500	\N	500	https://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy#statistics
Familial hypertrophic cardiomyopathy 10	500	\N	500	https://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy#statistics
Familial hypertrophic cardiomyopathy 11	500	\N	500	https://ghr.nlm.nih.gov/condition/familial-hypertrophic-cardiomyopathy#statistics
Familial medullary thyroid carcinoma	14286	\N	14286	http://www.cancer.gov/types/thyroid/hp/thyroid-treatment-pdq
Hypercholesterolemia, autosomal dominant, 3	500	\N	500	http://www.acc.org/latest-in-cardiology/articles/2015/07/17/08/23/variation-in-the-prevalence-of-familial-hypercholesterolemia-around-the-world
Left ventricular noncompaction 6	7143	385	1658	http://www.omicsonline.org/open-access/left-ventricular-noncompaction-current-controversy-and-new-insights-2157-7412-6-255.php?aid=39346
Li-Fraumeni syndrome 1	5000	20000	10000	http://www.ncbi.nlm.nih.gov/books/NBK1311/
Loeys-Dietz syndrome type 1A	100000	\N	100000	http://ukgtn.nhs.uk/uploads/tx_ukgtn/Loeys-Dietz_Syndrome_TGFBR12_GD_Sept_10.pdf
Loeys-Dietz syndrome type 1B	100000	\N	100000	http://ukgtn.nhs.uk/uploads/tx_ukgtn/Loeys-Dietz_Syndrome_TGFBR12_GD_Sept_10.pdf
Loeys-Dietz syndrome type 2A	100000	\N	100000	http://ukgtn.nhs.uk/uploads/tx_ukgtn/Loeys-Dietz_Syndrome_TGFBR12_GD_Sept_10.pdf
Loeys-Dietz syndrome type 2B	100000	\N	100000	http://ukgtn.nhs.uk/uploads/tx_ukgtn/Loeys-Dietz_Syndrome_TGFBR12_GD_Sept_10.pdf
Loeys-Dietz syndrome type 3	100000	\N	100000	http://ukgtn.nhs.uk/uploads/tx_ukgtn/Loeys-Dietz_Syndrome_TGFBR12_GD_Sept_10.pdf
Long QT syndrome 1	7000	\N	7000	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1557415/
Long QT syndrome 2	7000	\N	7000	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1557415/
Long QT syndrome 3	7000	\N	7000	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1557415/
Lynch syndrome	2000	660	1149	http://www.ncbi.nlm.nih.gov/pubmed/16136383
