Disease	Inverse.P1	Inverse.P2	Inverse.Prevalence	Region	URL	journal	year	sample size
Adenomatous polyposis coli	11300	37600	33333	EU-Overall	http://www.ncbi.nlm.nih.gov/pubmed/19822006	Orphanet Journal of Rare Diseases	2009	\N
"Aortic aneurysm, familial thoracic 4"	20.8	\N	20.8	World	http://www.ncbi.nlm.nih.gov/pubmed/24312543	PLoS One	2013	700000
"Aortic aneurysm, familial thoracic 6"	20.8	\N	20.8	World	http://www.ncbi.nlm.nih.gov/pubmed/10807810	Chest	2000	700000
"Aortic aneurysm, familial thoracic 7"	20.8	\N	20.8	World	http://www.ncbi.nlm.nih.gov/pubmed/10807810	Chest	2000	700000
"Arrhythmogenic right ventricular cardiomyopathy, type 5"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000
"Arrhythmogenic right ventricular cardiomyopathy, type 8"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000
"Arrhythmogenic right ventricular cardiomyopathy, type 9"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000
"Arrhythmogenic right ventricular cardiomyopathy, type 10"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000
"Arrhythmogenic right ventricular cardiomyopathy, type 11"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000
"Breast-ovarian cancer, familial 1"	104	\N	104	US	http://seer.cancer.gov/statfacts/html/breast.html	\N	2013	316500000
"Breast-ovarian cancer, familial 2"	104	\N	104	US	http://seer.cancer.gov/statfacts/html/breast.html	\N	2013	316500000
Brugada syndrome 1	10000	2000	4472	World	http://www.ncbi.nlm.nih.gov/pubmed/17038146	Pacing and Clinical Electrophysiology	2006	\N
Catecholaminergic polymorphic ventricular tachycardia	10000	\N	10000	\N	http://www.ncbi.nlm.nih.gov/pubmed/27212848	Annals of Pediatric Cardiology	2016	\N
Dilated cardiomyopathy 1A	142	\N	142	EU-Italy	http://www.ncbi.nlm.nih.gov/pubmed/9049523	European Heart Journal	1989	5252
"Ehlers-Danlos syndrome, type 4"	20000	\N	20000	\N	http://www.ncbi.nlm.nih.gov/pubmed/20847697	Nature	2010	\N
Fabry's disease	100000	\N	100000	\N	http://www.ncbi.nlm.nih.gov/pubmed/21092187	Orphanet Journal of Rare Diseases	2010	\N
Familial hypercholesterolemia	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/18516203	The Clinical Biochemist Reviews	2004	\N
Familial hypertrophic cardiomyopathy 1	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Journal of the American College of Cardiology	2015	\N
Familial hypertrophic cardiomyopathy 3	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Journal of the American College of Cardiology	2015	\N
Familial hypertrophic cardiomyopathy 4	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Journal of the American College of Cardiology	2015	\N
Familial hypertrophic cardiomyopathy 6	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Journal of the American College of Cardiology	2015	\N
Familial hypertrophic cardiomyopathy 7	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Journal of the American College of Cardiology	2015	\N
Familial hypertrophic cardiomyopathy 8	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Journal of the American College of Cardiology	2015	\N
Familial hypertrophic cardiomyopathy 10	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Journal of the American College of Cardiology	2015	\N
Familial hypertrophic cardiomyopathy 11	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Journal of the American College of Cardiology	2015	\N
Familial medullary thyroid carcinoma	14286	\N	14286		http://www.cancer.gov/types/thyroid/hp/thyroid-treatment-pdq			
"Hypercholesterolemia, autosomal dominant, 3"	500	\N	500		http://www.acc.org/latest-in-cardiology/articles/2015/07/17/08/23/variation-in-the-prevalence-of-familial-hypercholesterolemia-around-the-world			
Left ventricular noncompaction 6	7143	385	1658		http://www.omicsonline.org/open-access/left-ventricular-noncompaction-current-controversy-and-new-insights-2157-7412-6-255.php?aid=39346			
Li-Fraumeni syndrome 1	5000	20000	10000		http://www.ncbi.nlm.nih.gov/books/NBK1311/			
