ASW	CEU	YRI	Total
APC	1	1	1	1
MYH11	1	1	1	1
ACTA2	1	1	1	1
MYLK	1	1	1	1
TMEM43	1	1	1	1
DSP	1	1	1	1
PKP2	1	1	1	1
DSG2	1	1	1	1
DSC2	1	1	1	1
BRCA1	1	1	1	1
BRCA2	1	1	1	1
SCN5A	1	1	1	1
RYR2	1	1	1	1
LMNA	1	1	1	1
MYBPC3	1	1	1	1
COL3A1	1	1	0.990740740740741	0.999600638977636
GLA	0.836065573770492	0.535353535353535	0.916666666666667	0.72444089456869
APOB	1	1	1	1
LDLR	1	1	1	1
MYH7	1	1	1	0.996006389776358
TPM1	1	1	1	1
PRKAG2	1	1	1	1
TNNI3	1	1	1	1
MYL3	0.967213114754098	0.353535353535354	1	0.690095846645367
MYL2	1	0.909090909090909	1	0.944888178913738
ACTC1	1	1	0.990740740740741	0.998003194888179
RET	1	1	1	1
PCSK9	1	1	1	1
TNNT2	1	1	1	0.999600638977636
TP53	1	1	1	1
TGFBR1	1	0.939393939393939	1	0.989217252396166
TGFBR2	1	1	1	1
SMAD3	1	1	1	1
KCNQ1	1	1	1	1
KCNH2	1	1	1	1
MLH1	1	1	1	1
MSH2	1	1	1	1
MSH6	1	1	1	1
PMS2	1	1	1	1
RYR1	1	1	1	1
CACNA1S	1	1	1	1
FBN1	1	1	1	1
MEN1	1	1	0.990740740740741	0.999600638977636
MUTYH	1	1	1	0.999600638977636
NF2	1	1	1	1
SDHD	1	1	0.935185185185185	0.989217252396166
SDHAF2	1	0.98989898989899	1	0.996405750798722
SDHC	1	1	1	1
SDHB	1	1	1	1
STK11	1	0.98989898989899	1	0.995607028753994
PTEN	1	1	1	1
RB1	1	1	1	1
TSC1	1	1	1	1
TSC2	1	1	1	0.999600638977636
VHL	1	1	1	0.999600638977636
WT1	1	0.95959595959596	1	0.994009584664537
