Disease,Inverse.P1,Inverse.P2,Inverse.Prevalence,Region,URL,journal,year,sample.size,first.author,subset,citations,date.accessed,issue
Adenomatous polyposis coli,11300,37600,33333,EU-Overall,http://www.ncbi.nlm.nih.gov/pubmed/19822006,Orphanet Journal of Rare Diseases,2009,\N,Half,full,312,19-07-2016,refers to unsubstantiated claim: http://www.ema.europa.eu/docs/en_GB/document_library/Orphan_designation/2009/10/WC500006159.pdf
Aortic aneurysm familial thoracic,611,\N,611,EU-Sweden,http://www.ncbi.nlm.nih.gov/pubmed/17145990,Circulation,2006,Size of Swedish National Healthcare Registers,Olsson,thoracic,384,19-07-2016,calculated from summed incidence (14229 diagnoses in 16 years in population of 8700000)
Arrhythmogenic right ventricular cardiomyopathy,1000,\N,1000,EU-Germany,http://www.ncbi.nlm.nih.gov/pubmed/15561339,International Journal of Cardiology,2004,80000,Peters,\N,111,19-07-2016,calculated from summed incidence (80 diagnoses in 6 years in population of 80000)
Breast-ovarian cancer familial,104,\N,104,US,http://seer.cancer.gov/statfacts/html/breast.html,\N,2013,\N,\N,women,\N,19-07-2016,not a pubmed study
Brugada syndrome,10000,2000,4472,World,http://www.ncbi.nlm.nih.gov/pubmed/17038146,Pacing and Clinical Electrophysiology,2006,\N,Antzelevitch,\N,11,19-07-2016,refers to other (uncited) studies
Catecholaminergic polymorphic ventricular tachycardia,10000,\N,10000,\N,http://www.ncbi.nlm.nih.gov/pubmed/27212848,Annals of Pediatric Cardiology,2016,\N,Behere,\N,\N,19-07-2016,refers to multiple unsubstantiated claims in other papers
Dilated cardiomyopathy,142,\N,142,EU-Italy,http://www.ncbi.nlm.nih.gov/pubmed/9049523,European Heart Journal,1997,5252,Rakar,\N,3,19-07-2016,calculated from summed incidence (24 diagnoses in 3 years in population of 5252)
Ehlers-Danlos syndrome,20000,\N,20000,\N,http://www.ncbi.nlm.nih.gov/pubmed/20847697,Nature,2010,\N,Malfait,\N,116,19-07-2016,cites inaccessible textbook
Fabry's disease,100000,\N,100000,World,http://www.ncbi.nlm.nih.gov/pubmed/21092187,Orphanet Journal of Rare Diseases,2010,\N,Germain,\N,287,19-07-2016,Incidence not prevalence. Refers to multiple studies on prevalence; mostly birth prevalence.
Familial hypercholesterolemia,500,\N,500,World,http://www.ncbi.nlm.nih.gov/pubmed/18516203,The Clinical Biochemist Reviews,2004,\N,Marais,\N,83,19-07-2016,Not a study; unsubstantiated
Familial hypertrophic cardiomyopathy,500,\N,500,World,http://www.ncbi.nlm.nih.gov/pubmed/7641357,Circulation,1995,4111,Maron,\N,1538,19-07-2016,calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial medullary thyroid carcinoma,14286,\N,14286,US,http://www.cancer.gov/types/thyroid/hp/thyroid-treatment-pdq,National Cancer Institute,2016,\N,\N,\N,\N,19-07-2016,3-4% of all thyroid cancers; unsubstantiated; calculated by 316 million / 3.5% of total thyroid from http://seer.cancer.gov/statfacts/html/thyro.html
Left ventricular noncompaction,7143,385,1658,\N,http://www.omicsonline.org/open-access/left-ventricular-noncompaction-current-controversy-and-new-insights-2157-7412-6-255.php?aid=39346,Journal of Genetic Syndromes & Gene Therapy,2014,\N,Morcos,\N,\N,19-07-2016,not a pubmed study compiles multiple studies. 
Li-Fraumeni syndrome,5000,20000,10000,\N,http://www.ncbi.nlm.nih.gov/books/NBK1311/,GeneReviews,1999,\N,Schneider,\N,47,19-07-2016,not a pubmed study compiles multiple studies. 
Loeys-Dietz syndrome,100000,\N,100000,EU-UK,http://ukgtn.nhs.uk/uploads/tx_ukgtn/Loeys-Dietz_Syndrome_TGFBR12_GD_Sept_10.pdf,UK Genetic Testing Network,2010,\N,\N,\N,\N,19-07-2016,prevalence is upper limit categorical (Rare: Less than 1/100000)
Long QT syndrome,2534,\N,2534,Italy,http://www.ncbi.nlm.nih.gov/pubmed/19841298,Circulation,2009,\N,Schwartz,white healthy live births,417,19-07-2016,uncited
Lynch syndrome,2000,660,1149,World,http://www.ncbi.nlm.nih.gov/pubmed/16136383,Familial Cancer,2005,\N,de la Chapelle,in colorectal and endometrial cancer patients,123,19-07-2016,Incidence not prevalence.
Malignant hyperthermia,400,\N,400,\N,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4524368/,Orphanet Journal of Rare Diseases,2015,\N,Rosenberg,\N,15,19-07-2016,genetic abnormalties; actual MH measured in anesthetics (1:10000 to 1:250000) Other source: http://journals.lww.com/anesthesia-analgesia/Abstract/2009/10000/Prevalence_of_Malignant_Hyperthermia_Due_to.27.aspx
Marfan's syndrome,3333,5000,4082,\N,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1513064/,Lancet,2005,\N,Judge,\N,648,19-07-2016,Incidence not prevalence; unsubstantiated. Also cites birth incidence from study.
Multiple endocrine neoplasia,30000,\N,30000,\N,http://www.cancer.gov/types/thyroid/hp/medullary-thyroid-genetics-pdq,National Cancer Institute,2016,\N,\N,\N,\N,19-07-2016,distinguishes type 1 and 2 but not 2a and 2b
MYH-associated polyposis,10000,\N,10000,Morocco,https://www.researchgate.net/publication/47403108_Prevalence_of_MYH-associated_polyposis_related_to_three_recurrent_mutations_in_Morocco,Annals of Human Biology,2010,400,\N,\N,3,19-07-2016,only looks at 3 variant mutations
Neurofibromatosis,60000,\N,60000,\N,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=637,Orphanet,2009,\N,Evans,\N,\N,19-07-2016,uncited
Paragangliomas,500000,125000,250000,US,http://www.cancer.gov/types/pheochromocytoma/hp/pheochromocytoma-treatment-pdq,National Cancer Institute,2016,\N,\N,\N,\N,19-07-2016,incidence not prevalence; specifically pheochromocytoma (adrenal medulla paragangliomas) 
Peutz-Jeghers syndrome,25000,300000,86603,US,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=2869,Orphanet,2013,\N,Amos,\N,\N,19-07-2016,uncited
Pilomatrixoma,500,2000,1000,\N,http://radiopaedia.org/articles/pilomatricoma,\N,\N,\N,Kang,\N,\N,19-07-2016,sketchy site no date no citation
PTEN hamartoma tumor syndrome,250000,\N,250000,EU-Netherlands,http://www.ncbi.nlm.nih.gov/books/NBK1488/,Nature,1999,\N,Nelen,\N,194,19-07-2016,\N
Retinoblastoma,14000,18000,15875,US/EU,http://www.who.int/selection_medicines/committees/expert/20/applications/Retinoblastoma.pdf,Union for International Cancer Control,2014,\N,\N,children live births geographic variation,\N,19-07-2016,uncited
Tuberous sclerosis,6000,\N,6000,World,http://www.ninds.nih.gov/disorders/tuberous_sclerosis/detail_tuberous_sclerosis.htm,National Institute of Neurological Disorders and Stroke,2016,\N,\N,newborns,\N,19-07-2016,also contains total affected numbers US and worldwide
Von Hippel-Lindau syndrome,53000,\N,53000,\N,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=892,Orphanet,2012,\N,Maher,\N,\N,19-07-2016,uncited
Wilms' tumor,10000,\N,10000,World,http://www.ncbi.nlm.nih.gov/pubmed/7680412,Medical Pediatric Oncology,1993,\N,Breslow,\N,284,19-07-2016,uncited
