Disease	Inverse.P1	Inverse.P2	Inverse.Prevalence	Region	URL	journal	year	sample.size	first.author	subset	citations	date.accessed	issue
Adenomatous polyposis coli	11300	37600	33333	EU-Overall	http://www.ncbi.nlm.nih.gov/pubmed/19822006	Orphanet Journal of Rare Diseases	2009	\N	Half	full	312	19-07-2016	refers to unsubstantiated claim: http://www.ema.europa.eu/docs/en_GB/document_library/Orphan_designation/2009/10/WC500006159.pdf
"Aortic aneurysm, familial thoracic 4"	20.8	\N	20.8	World	http://www.ncbi.nlm.nih.gov/pubmed/24312543	PLoS One	2013	700000	Li	abdominal	20	19-07-2016	"abdominal, not thoracic"
"Aortic aneurysm, familial thoracic 6"	611	\N	611	EU-Sweden	http://www.ncbi.nlm.nih.gov/pubmed/17145990	Circulation	2006	Size of Swedish National Healthcare Registers	Olsson	thoracic	384	19-07-2016	"calculated from summed incidence (14229 diagnoses in 16 years in population of 8,700,000)"
"Aortic aneurysm, familial thoracic 7"	20.8	\N	20.8	World	http://www.ncbi.nlm.nih.gov/pubmed/24312543	PLoS One	2013	700000	Li	abdominal	20	19-07-2016	"abdominal, not thoracic"
"Arrhythmogenic right ventricular cardiomyopathy, type 5"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000	Peters	\N	111	19-07-2016	"calculated from summed incidence (80 diagnoses in 6 years in population of 80,000)"
"Arrhythmogenic right ventricular cardiomyopathy, type 8"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000	Peters	\N	111	19-07-2016	"calculated from summed incidence (80 diagnoses in 6 years in population of 80,000)"
"Arrhythmogenic right ventricular cardiomyopathy, type 9"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000	Peters	\N	111	19-07-2016	"calculated from summed incidence (80 diagnoses in 6 years in population of 80,000)"
"Arrhythmogenic right ventricular cardiomyopathy, type 10"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000	Peters	\N	111	19-07-2016	"calculated from summed incidence (80 diagnoses in 6 years in population of 80,000)"
"Arrhythmogenic right ventricular cardiomyopathy, type 11"	1000	\N	1000	EU-Germany	http://www.ncbi.nlm.nih.gov/pubmed/15561339	International Journal of Cardiology	2004	80000	Peters	\N	111	19-07-2016	"calculated from summed incidence (80 diagnoses in 6 years in population of 80,000)"
"Breast-ovarian cancer, familial 1"	104	\N	104	US	http://seer.cancer.gov/statfacts/html/breast.html	\N	2013	\N	\N	women	\N	19-07-2016	not a pubmed study
"Breast-ovarian cancer, familial 2"	104	\N	104	US	http://seer.cancer.gov/statfacts/html/breast.html	\N	2013	\N	\N	women	\N	19-07-2016	not a pubmed study
Brugada syndrome 1	10000	2000	4472	World	http://www.ncbi.nlm.nih.gov/pubmed/17038146	Pacing and Clinical Electrophysiology	2006	\N	Antzelevitch	\N	11	19-07-2016	refers to other (uncited) studies
Catecholaminergic polymorphic ventricular tachycardia	10000	\N	10000	\N	http://www.ncbi.nlm.nih.gov/pubmed/27212848	Annals of Pediatric Cardiology	2016	\N	Behere	\N	\N	19-07-2016	refers to multiple unsubstantiated claims in other papers
Dilated cardiomyopathy 1A	142	\N	142	EU-Italy	http://www.ncbi.nlm.nih.gov/pubmed/9049523	European Heart Journal	1997	5252	Rakar	\N	3	19-07-2016	calculated from summed incidence (24 diagnoses in 3 years in population of 5252)
"Ehlers-Danlos syndrome, type 4"	20000	\N	20000	\N	http://www.ncbi.nlm.nih.gov/pubmed/20847697	Nature	2010	\N	Malfait	\N	116	19-07-2016	cites inaccessible textbook
Fabry's disease	100000	\N	100000	World	http://www.ncbi.nlm.nih.gov/pubmed/21092187	Orphanet Journal of Rare Diseases	2010	\N	Germain	\N	287	19-07-2016	"Incidence, not prevalence. Refers to multiple studies on prevalence; mostly birth prevalence."
Familial hypercholesterolemia	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/18516203	The Clinical Biochemist Reviews	2004	\N	Marais	\N	83	19-07-2016	Not a study; unsubstantiated
Familial hypertrophic cardiomyopathy 1	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/7641357	Circulation	1995	4111	Maron	\N	1538	19-07-2016	calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial hypertrophic cardiomyopathy 3	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Circulation	1995	4111	Maron	\N	1538	19-07-2016	calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial hypertrophic cardiomyopathy 4	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Circulation	1995	4111	Maron	\N	1538	19-07-2016	calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial hypertrophic cardiomyopathy 6	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Circulation	1995	4111	Maron	\N	1538	19-07-2016	calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial hypertrophic cardiomyopathy 7	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Circulation	1995	4111	Maron	\N	1538	19-07-2016	calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial hypertrophic cardiomyopathy 8	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Circulation	1995	4111	Maron	\N	1538	19-07-2016	calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial hypertrophic cardiomyopathy 10	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Circulation	1995	4111	Maron	\N	1538	19-07-2016	calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial hypertrophic cardiomyopathy 11	500	\N	500	World	http://www.ncbi.nlm.nih.gov/pubmed/26483113	Circulation	1995	4111	Maron	\N	1538	19-07-2016	calculated from summed incidence (7 cases in 2 years in population of 4111)
Familial medullary thyroid carcinoma	14286	\N	14286	US	http://www.cancer.gov/types/thyroid/hp/thyroid-treatment-pdq	National Cancer Institute	2016	\N	\N	\N	\N	19-07-2016	3-4% of all thyroid cancers; unsubstantiated; calculated by 316 million / 3.5% of total thyroid from http://seer.cancer.gov/statfacts/html/thyro.html
