gene	chrom	txstart	txend
APC	5	112043201	112181936
MYH11	16	15796991	15950887
ACTA2	10	90694830	90751154
MYLK	3	123331142	123603149
TMEM43	3	14166439	14185180
DSP	6	7541807	7586950
PKP2	12	32943679	33049780
DSG2	18	29077966	29128970
DSC2	18	28645939	28682395
BRCA1	17	41196311	41277500
BRCA2	13	32889616	32973809
SCN5A	3	38589552	38691164
RYR2	1	237205701	237997288
LMNA	1	156052336	156107657
MYBPC3	11	47352956	47374253
COL3A1	2	189839098	189877472
GLA	X	100652778	100663001
APOB	2	21224300	21266945
LDLR	19	11200037	11244505
MYH7	14	23881946	23904895
TPM1	15	63334837	63364113
PRKAG2	7	151253200	151574316
TNNI3	19	55663135	55669100
MYL3	3	46899356	46904973
MYL2	12	111348623	111358404
ACTC1	15	35080296	35087927
RET	10	43572516	43625797
PCSK9	1	55505148	55530526
TNNT2	1	201328135	201346828
TP53	17	7571719	7590868
TGFBR1	9	101867370	101916473
TGFBR2	3	30647993	30735633
SMAD3	15	67358194	67487533
KCNQ1	11	2466220	2870340
KCNH2	7	150642043	150675402
MLH1	3	37034840	37092337
MSH2	2	47630205	47710367
MSH6	2	48010220	48034092
PMS2	7	6010555	6048737
RYR1	19	38924339	39078204
CACNA1S	1	201008639	201081694
FBN1	15	48700502	48937985
MEN1	11	64570985	64578766
MUTYH	1	45794913	45806142
NF2	22	29999544	30094589
SDHD	11	111957547	111966525
SDHAF2	11	61197596	61214239
SDHC	1	161284165	161334535
SDHB	1	17345224	17380665
STK11	19	1205797	1228434
PTEN	10	89623194	89731687
RB1	13	48877882	49056026
TSC1	9	135766734	135820020
TSC2	16	2097895	2138721
VHL	3	10183318	10195354
WT1	11	32409321	32457081
